Position,Company,Salary,Min-Salary,Max-Salary,City,Empirical,Education,Work Nature,Advantage,Detail,Address,Coordinate
C/C++,美国道富,15k-20k,15k,20k,杭州,5-10年,本科及以上,全职,"五险一金,15天年假,不加班","JobDescription:Workinadistributedagileteam,collaboratewithteammembersfromUS,IndiaandChinatoachievedelivery;Asaseniorsoftwareengineer,workcloselywithproductowner,analyst/designerandtestertoanalyze,developandtestRKSstories;Asaseniorsoftwareengineer,beabletocomeupwithsystemdesignanddevelophighqualitycodeforcomplexrequirementsindependently;Asaseniorsoftwareengineer,beabletoprovideconsultancyandguidancetoothermembersintheteamtohelpthemachievedeliverygoals;Asaseniorsoftwareengineer,continuouslypursueadvancementintechnologyandmechanismtoimproveteamproductivity,systemarchitecturebylearningandadoptingnewtechnologiesandmechanismslikecontinuousbuild,goodunittestingandqualitycoverage,etc.;Followindustrializedagilemodelandensurenecessarydocumentationsandtollgateapprovalsareobtainedagainstsoftwaredeliverables;Qualifications:6+yearsexperiencesinIT/CSStrongproficiencywithC/C++FamiliarwithOracledatabaseorotherrelationalDBFamiliarwithvariousscripting/shelldevelopmentFamiliarwithUnix/LinuxplatformFamiliarwithAgile/ScrumconceptsbetterwithexperienceinScrumMasterFamiliarwithsourcecontroltools,likeSVN/ClearCase/Gitetc.FamiliarwithcontinuousintegrationGoodcommunicationskillswithlocalandonsiteteamsinEnglish",杭州天堂软件园C栋,"(120.11646, 30.28979)"
C/C++开发工程师,神州优车集团,15k-30k,15k,30k,厦门,不限,学历不限,全职,扁平化管理,"岗位职责：1、负责多媒体通信平台架构设计与开发2、参与公司统一流量接入系统研发（深度定制的反向代理、流量调度系统、防攻击系统，网络流量数据分析系统等）；3、参与公司统一运维管理系统建设与改进；任职要求：1、有3年以上的软件开发经验，计算机、通信等相关专业背景，本科及以上学历；2、熟练掌握Linux下C/C++，GoLang设计与编程；3、熟悉Freeswitch、Webrtc技术，了解VoIP,SIP等通讯协议；4、具有良好的沟通表达能力，工作责任心强，善于学习；符合以下条件者优先：1、有全栈工程师能力，可以独立开发前后端完整的系统；2、有多媒体实时通信及呼叫中心的软件开发经验，了解呼叫中心的基本框架和流程的优先。",厦门特房波特曼中心,"(118.189052, 24.474742)"
c语言开发工程师,伟东云教育,20k-30k,20k,30k,深圳,3-5年,本科及以上,全职,团队思路开发、全球教育,岗位职责：1.负责Windows桌面及tcp网关服务的设计和开发；2.熟悉Windows应用程序开发过程，具有C#、C++和C语言开发经验；3.熟悉VisualStudio开发环境和.Net开发框架；4.熟悉应用软件UI界面开发；5.熟悉常用的数据库如MySQL等；6.熟悉基于electron框架的Windows桌面程序开发；7.了解Install安装软件的制作方法。任职要求：1.本科及以上学历，计算机等相关专业毕业，三年以上工作经验；2.学习能力强，良好的创新意识，有较强分析和解决问题的能力，较强逻辑思维能力和表达能力；3.良好的英文阅读能力，能阅读相关技术文档；4.工作积极主动，能够承受工作压力，服从工作安排，有团队合作精神；5.有electron开发经验、基于.net的tcp服务器开发经验优先。,深圳科技园中山大学产学研大楼13楼,"(113.943176, 22.526995)"
C/C++开发工程师,缔安研发部,10k-20k,10k,20k,上海,1-3年,本科及以上,全职,"PaaS,福利多多","职位描述：1、系统设计和技术文档的编制；2、参与公司各种应用软件的编码、开发工作；3、参与软件开发流程的执行；4、软件或者系统产品的结构设计、性能改进、体验优化等工作。任职要求：1、计算机或相关专业本科及以上学历；2、熟悉Linux开发环境，熟悉Linux脚本，有使用Gcc/Gdb/Make进行Linux开发经验；3、熟悉MySQL/NoSQL集群配置及相关接口库开发4、熟悉SOCKET与多线程开发；5、熟悉C/C++，熟悉STLC++标准库，熟悉常用数据结构、算法；6、熟练TCP/IP协议，和常用的应用层协议(HTTP,FTP)等；7、具备较好的自我学习能力和独立工作能力，熟悉软件工程的流程；8、具有强烈的责任感和团队精神，有一定的分析能力和表达能力，思维逻辑性较好。",上海SOHO天山广场,"(121.356187, 31.220756)"
C/C++资深研发工程师,北京涛思数据科技有限公司研发,25k-50k,25k,50k,北京,不限,本科及以上,全职,"大牛团队,高薪好福利,弹性工作,丰厚期权","工作职责：1.负责数据库引擎的设计、开发、测试和优化2.与其他负责人一起互相review架构设计、代码3.与客户进行需求沟通、技术培训，介绍TDengine的原理、使用方式、最佳实践等基本条件：1.优秀的C/C++编码能力;2.熟悉数据库内核的基本算法；3.对数据库开源项目(Cassandra,Redis,MongoDB,MySQL等)有研究4.有2年以上系统开发经验，熟悉分布式、高可靠系统的设计、研发和测试；5.能快速搜索并阅读英文技术资料，爱写程序，爱技术挑战；6.能独立做需求分析，并设计、开发、测试软件，全栈软件工程师一个；7.能组建并带领团队，也能挽起袖子自己干正规本科以上毕业，985院校优先",北京来广营西路诚盈中心,"(116.465953, 40.021083)"
C语言开发工程师,易联达,10k-18k,10k,18k,北京,1-3年,本科及以上,全职,"带薪年假,补充医疗,绩效奖金,定期体检",岗位职责：1.根据功能需求说明，写出详细设计方案；2.根据设计文档/模型，编写合格的代码，进行独立的开发；3.代码维护，包括修正代码中的故障，并积极进行代码优化；4.负责对已有项目在不同系统平台间的移植；5.根据项目需求学习掌握新系统平台进行开发。任职要求：1.熟悉C语言，具备编码经验。有Linux下的C开发经验优先；2.有扎实的编程基础，能够有效理解开发任务；3.熟悉相关编程工程（如vc/vs）;4.良好的代码编写习惯、以及技术文档书写能力；5.有相关软件编程、熟悉网络（socket）编程优先。,北京永澄北路2号,"(116.227754, 40.078028)"
c语言开发工程师,金丘股份,12k-15k,12k,15k,上海,3-5年,本科及以上,全职,环境好，待遇优,"岗位职责：1、负责根据业务需求进行系统的开发和调试工作；2、参与系统需求讨论，进行系统的概要设计及详细设计；3、系统核心代码的编写及单元测试；4、负责编写相关的设计及开发文档。业务技能：1、1年C/C++银行应用开发经验，能独立承担设计及开发任务；2、熟练掌握C/C++相关技术，对程序设计有着清晰认识3、熟悉Oracle数据库；4、具有新技术的快速学习及适应能力；5、责任心强，有良好的沟通能力和团队协作精神。经验背景：符合以下条件者优先：a）熟悉银行业务或有银行系统开发经验b）有CNAPS、CIPS网联等银行支付相关经验优先c)熟悉LINUX/UNIX操作系统,ORACLE/DB2数据库等",上海陆家嘴银城中路200号 中银大厦28楼 2807~2812室,"(121.503371, 31.238518)"
C/C++高级开发工程师,金山云CDN及视频云产品中心,15k-30k,15k,30k,武汉,3-5年,本科及以上,全职,七险一金 周目双休 带薪年假,岗位职责：负责P2P服务端的设计及研发工作。任职资格：1、全日制统招本科及以上学历，计算机相关专业；2、3年以上服务端开发经验，精通Linux/Unix平台上的C/C++编程；3、精通网络编程、多线程编程、熟悉常见数据结构和常用算法；5、具备良好的编程思想和代码规范，能够独立的分析和解决问题能力，具备快速学习能力；6、具备良好的团队沟通和协调能力，有责任心，能够承受工作压力;7、精通Linux高并发服务器程序开发者优先；8、具有P2P项目开发经验者优先。,武汉武汉市东湖新技术开发区光谷大道77号光谷金融港B24栋2层,"(114.429234, 30.455762)"
软件研发工程师（C/C++、Linu...,广州市奥威亚电子科技有限公司研发部,15k-30k,15k,30k,广州,5-10年,本科及以上,全职,年终奖，节日福利，团队活动，五险一金,"软件研发工程师（C/C++、Linux、流媒体服务器）1.统招本科以上学历，计算机/软件/通信等相关专业；2.可熟练阅读英文技术文档，具备文档编写能力；3.良好的协作能力与沟通能力，具有敬业精神、高度责任感和创新能力、富团队合作精神。岗位要求：1.良好的C/C++编程能力，能熟练使用SVN或者GIT等版本管理软件的客户端；2.熟悉Linux操作系统及Linux多线程、进程通信等内容的编程；熟悉计算机网络编程（TCP/IP、UDP等网络通信协议）；3.对云服务器的部署有一定了解；4.具有以下任何一项经验者优先考虑熟悉开源流媒体服务器如DarwinStreamingServer、Live555、Simplertmpserver等的框架及设计；熟悉音频数据的表示方式，对音频数据的主要参数有充分的了解；熟悉音频的编解码格式，如G.7XX、AAC、OPUS等；熟悉视频数据的表示方式和种类，对视频数据的主要参数有充分的了解；熟悉视频的编解码格式，如H.264、H.265、MJPEG等；对静态图像的表示和存储方式要有一定了解；熟悉音视频数据的封装存储格式，如MP4、FLC、VOB等；熟悉计算机音视频传输的相关协议：包括RTSP、RTMP、RTP等；熟悉计算机音视频互动的相关协议，如：H.323、SIP、WebRTC、Skype等。我们的优势：A.专注信息化教育视频应用14年，深耕教育服务14载，将视音频技术融入到课堂录制，在线互动、课后点播、课例直播等各个教学环节；B.10,000余所中小学和高校成功案例，凭借优质的产品和方案，奥威亚的市场占有率领先同行，在全国各地先后打造万余项成功案例；C.占比40%的研发和技术团队，重视研发与创新，研发和技术团队占公司总人数的40%，近五年一直保持年收入12%的研发投入；D.33个本地化服务，全国建立33个服务网络，提供涵盖售前、售中、售后全过程的本地化服务，第一时间响应客户需求。我们的福利：A.富有竞争力的薪酬福利体系，根据个人表现提供年薪14月+；B.完整的社会保障体系，五险一金，周末双休，法定假日，带薪年假；C.丰富多彩的员工活动，倡导平缓工作与生活，月度生日会，员工聚餐，旅游活动等；D.免费提供工作餐，由公司农庄提供蔬菜和禽类，食材绿色健康；E.针对性一对一培养机制，良好工作氛围，提供多维度发展空间，体现个人价值；F.总部班车接送，远离拥堵公交(华师-公司、黄村-公司)。",广州科学大道中绿地中央广场A1栋13楼,"(113.3612, 23.12468)"
C中级工程师,成都天用唯勤研发部,9k-18k,9k,18k,深圳,3-5年,本科及以上,全职,六险一金、带薪年假、双休、餐补、通讯补贴,岗位职责：1、配合项目经理完成项目的需求分析及详细设计2、负责具体模块的编码、单元测试、集成测试3、根据公司软件工程管理规范和客户要求，撰写相关文档4、根据客户的后续需求，对相关软件进行维护和升级任职要求：1、计算机、数学或电子信息技术专业，本科以上学历2、C/C++基础扎实，有1年以上C/C++开发经验的优先考虑3、熟悉银行业务知识，有银行或金融产品开发经验优先考虑；具备项目管理经验优先考虑4、熟悉Oracle、Informix、Sysbase、SQLServer、MySql等至少一种主流数据库5、具备良好的编码规范、良好的沟通表达能力和文档交付能6、具有较强的自学能力，善于发现问题、解决问题，并能够承受工作压力7、具有良好的客户服务意识，重视团队合作，有责任心，上进心福利：提供六险一金、带薪年假、双休、餐补、通讯补贴、项目奖金。,深圳NEO大厦C栋9F1,"(114.030928, 22.53603)"
